Регион,Год,Число больничных коек,Мощность амбулаторно-поликлинических организаций,Численность врачей всех специальностей,Численность среднего медицинского персонала,Заболеваемость на 1000 человек населения,Среднедушевые денежные доходы населения,Смертность населения в трудоспособном возрасте,Число предприятий и организаций,Выбросы загрязняющих веществ в атмосферный воздух,Улавливание загрязняющих атмосферу веществ,Сброс загрязненных сточных вод в поверхностные водные объекты,Средняя продолжительность жизни,ФО
Республика Алтай,2020,72.9,292.9,45.6,123.1,912.6,21683.0,653.9928240740742,4907.0,7.0,1.0,0.4,69.15,siberian
Республика Алтай,2021,72.8,294.8,43.6,119.7,1020.1,23798.0,653.9928240740742,4651.0,7.0,1.0,0.3,67.86,siberian
Республика Башкортостан,2005,96.4,235.1,41.7,111.8,807.0,6887.0,701.7,21857.0,411.0,836.0,388.0,66.59,volga
Республика Башкортостан,2010,86.2,239.9,42.2,110.9,894.5,17499.0,627.5,21857.0,388.0,495.0,341.0,68.89,volga
Республика Башкортостан,2011,84.8,241.7,43.1,110.7,860.6,19030.0,646.0,80970.0,406.0,520.0,321.0,69.04,volga
Республика Башкортостан,2012,85.1,246.6,41.6,110.7,847.6,21267.0,640.6,85634.0,403.0,483.0,311.0,69.32,volga
Республика Башкортостан,2013,81.4,253.6,41.9,109.5,841.3,23866.0,647.5,90801.0,449.0,928.0,305.0,69.63,volga
Республика Башкортостан,2014,80.7,255.6,42.7,108.4,862.6,25745.0,651.2,88976.0,459.0,936.0,298.0,69.76,volga
Республика Башкортостан,2015,80.1,256.6,40.2,112.2,849.8,27320.0,639.9,21857.0,435.0,945.0,277.0,70.08,volga
Республика Башкортостан,2016,78.8,259.4,41.0,109.4,844.9,27849.0,595.5,87692.0,461.0,535.0,283.0,71.0,volga
Республика Башкортостан,2017,78.0,261.3,42.1,108.5,836.8,28468.0,554.3,82728.0,418.0,369.0,260.0,71.73,volga
Республика Башкортостан,2018,77.4,262.9,42.8,104.9,843.9,28967.0,553.1,81538.0,455.0,343.0,243.0,72.06,volga
Республика Башкортостан,2019,77.6,264.9,43.4,104.4,856.4,30603.0,511.7,21857.0,471.0,320.0,236.0,72.64,volga
Республика Башкортостан,2020,79.7,276.0,44.8,103.8,916.4,30409.0,611.3,21857.0,441.0,311.0,210.0,70.36,volga
Республика Башкортостан,2021,78.0,271.5,44.6,102.9,1035.0,32621.0,642.2,21857.0,449.0,317.0,207.0,69.49,volga
Республика Бурятия,2005,105.7,228.4,38.6,108.9,614.5,6027.0,1084.3,21857.0,87.0,384.0,61.0,60.96,siberian
Республика Бурятия,2010,97.0,228.9,41.3,112.3,668.1,14271.0,776.3,21857.0,95.0,669.0,41.0,66.05,siberian
Республика Бурятия,2011,93.6,229.3,41.7,130.8,644.6,15715.0,797.5,18953.0,90.0,646.0,8.0,66.09,siberian
Республика Бурятия,2012,94.8,237.0,42.8,137.4,654.8,17688.0,738.7,18733.0,100.0,698.0,35.0,66.79,siberian
Республика Бурятия,2013,99.7,331.1,44.8,137.4,647.5,18901.0,684.8,19492.0,114.0,766.0,32.0,67.67,siberian
Республика Бурятия,2014,94.2,262.3,44.3,116.5,660.0,20710.0,668.4,20309.0,106.0,736.0,38.0,68.54,siberian
Республика Бурятия,2015,88.7,263.3,45.6,115.5,604.5,23858.0,639.8,21857.0,109.0,727.0,39.0,69.15,siberian
Республика Бурятия,2016,86.9,257.6,46.4,115.2,614.0,23723.0,611.9,20062.0,94.0,543.0,38.0,69.61,siberian
Республика Бурятия,2017,86.4,265.8,46.4,113.3,632.5,23860.0,546.2,19716.0,113.0,609.0,35.0,70.69,siberian
Республика Бурятия,2018,86.1,272.4,45.6,112.0,632.7,24081.0,547.1,19537.0,93.0,560.0,35.0,70.84,siberian
Республика Бурятия,2019,83.3,275.6,45.1,110.8,633.9,25302.0,560.0,21857.0,69.0,600.0,31.0,70.77,siberian
Республика Бурятия,2020,84.7,274.5,44.7,108.4,664.5,26222.0,575.1,21857.0,94.0,554.0,29.0,70.29,siberian
Республика Бурятия,2021,79.1,274.2,43.4,105.7,769.4,28314.0,629.6,21857.0,98.0,518.0,30.0,68.91,siberian
Республика Дагестан,2005,66.9,113.4,37.4,79.1,844.4,4388.0,245.9,37456.0,27.0,2.0,78.0,73.13,north_caucasian
Республика Дагестан,2010,67.8,118.9,39.2,81.6,786.9,15678.0,241.5,28034.0,18.0,2.0,77.0,73.87,north_caucasian
Республика Дагестан,2011,69.4,113.9,39.5,112.7,806.1,18278.0,237.2,29837.0,17.0,1.0,78.0,74.26,north_caucasian
Республика Дагестан,2012,70.4,113.0,39.2,111.6,815.2,20730.0,227.7,32048.0,18.0,2.0,79.0,74.9,north_caucasian
Республика Дагестан,2013,70.5,113.9,39.4,113.7,816.5,21557.0,211.5,33558.0,16.0,3.0,77.0,75.63,north_caucasian
Республика Дагестан,2014,69.2,113.7,39.9,85.4,815.8,23298.0,207.7,34115.0,13.0,1.0,78.0,75.83,north_caucasian
Республика Дагестан,2015,68.0,115.0,36.7,85.5,788.8,26764.0,203.7,34012.0,11.0,1.0,79.0,76.39,north_caucasian
Республика Дагестан,2016,67.1,119.4,37.6,86.1,803.4,25669.0,189.5,35262.0,14.0,0.0,77.0,77.23,north_caucasian
Республика Дагестан,2017,69.2,124.9,40.1,89.8,787.6,26483.0,173.0,33312.0,14.0,6.0,72.0,77.79,north_caucasian
Республика Дагестан,2018,69.5,124.1,41.2,90.7,791.0,25755.0,166.5,31420.0,14.0,15.0,71.0,78.69,north_caucasian
Республика Дагестан,2019,66.6,119.6,41.3,89.6,776.6,27410.0,159.1,30896.0,13.0,31.0,73.0,79.1,north_caucasian
Республика Дагестан,2020,70.0,242.5,41.4,89.9,705.3,27666.0,205.5,29818.0,10.0,4.0,75.0,76.43,north_caucasian
Республика Дагестан,2021,65.0,115.8,40.9,88.4,729.7,30260.0,211.2,29141.0,11.0,12.0,75.0,76.59,north_caucasian
Республика Ингушетия ,2005,46.6,136.6,27.0,63.6,553.0,25860.23717948718,212.5,8020.0,1.0,0.2,166.34758771929825,73.45,
Республика Ингушетия ,2010,49.6,139.0,33.8,70.1,827.9,25860.23717948718,231.4,4004.0,1.0,0.0,166.34758771929825,74.71,
Республика Ингушетия ,2011,47.8,133.8,34.1,108.0,943.5,22884.0,204.5,4106.0,0.1,0.0,82.0,76.29,
Республика Ингушетия ,2012,47.0,130.4,36.5,110.6,919.4,22884.0,182.2,4206.0,0.2,0.0,82.0,77.8,
Республика Ингушетия ,2013,46.1,133.8,37.7,109.0,979.6,22884.0,166.7,4707.0,0.6,0.0,82.0,78.84,
Республика Ингушетия ,2014,49.2,135.3,39.8,80.8,915.8,22884.0,164.2,5526.0,0.4,0.0,82.0,79.42,
Республика Ингушетия ,2015,48.9,149.3,39.4,83.5,751.7,25860.23717948718,152.0,5576.0,0.4,0.1,166.34758771929825,80.05,
Республика Ингушетия ,2016,48.2,151.4,40.9,85.5,600.6,22884.0,155.5,5240.0,1.0,107.5,82.0,80.82,
Республика Ингушетия ,2017,45.0,151.5,45.8,87.0,575.2,22884.0,146.4,5066.0,1.0,107.5,82.0,81.59,
Республика Ингушетия ,2018,44.4,147.1,45.4,81.5,567.9,22884.0,142.4,5276.0,1.0,107.5,82.0,82.41,
Республика Ингушетия ,2019,44.1,201.7,44.4,80.1,548.6,25860.23717948718,142.0,5378.0,8.0,0.1,166.34758771929825,83.4,
Республика Ингушетия ,2020,48.7,200.3,44.7,86.6,549.2,25860.23717948718,183.7,5256.0,2.0,0.1,166.34758771929825,81.48,
Республика Ингушетия ,2021,45.8,133.0,44.9,86.3,557.1,25860.23717948718,174.0,5326.0,2.0,0.1,166.34758771929825,80.52,
Республика Калмыкия,2005,133.8,255.6,48.7,134.6,700.6,2392.0,615.0,17330.0,3.0,0.4,36.0,67.24,southern
Республика Калмыкия,2010,95.0,241.2,46.7,118.4,680.0,7774.0,549.0,8223.0,3.0,0.2,29.0,69.35,southern
Республика Калмыкия,2011,95.8,248.8,50.1,116.8,667.9,8829.0,526.1,8003.0,4.0,0.1,33.0,70.8,southern
Республика Калмыкия,2012,92.3,272.4,51.9,114.0,719.8,10190.0,509.9,7153.0,4.0,0.2,20.0,71.22,southern
Республика Калмыкия,2013,93.3,275.3,53.5,116.3,694.3,11673.0,505.5,5823.0,7.0,0.3,26.0,71.35,southern
Республика Калмыкия,2014,87.3,279.7,54.1,116.4,660.6,12992.0,452.4,5503.0,5.0,0.4,14.0,72.03,southern
Республика Калмыкия,2015,86.2,271.2,53.3,113.1,658.5,15276.0,472.5,5433.0,3.0,0.3,12.0,72.15,southern
Республика Калмыкия,2016,77.4,272.4,52.0,112.5,719.9,15696.0,427.7,4739.0,2.0,0.5,15.0,73.35,southern
Республика Калмыкия,2017,78.2,276.6,53.7,110.2,703.6,16261.0,405.5,4252.0,3.0,0.4,15.0,73.54,southern
Республика Калмыкия,2018,78.3,275.3,51.8,108.2,685.6,17082.0,399.3,4072.0,4.0,0.3,14.0,73.84,southern
Республика Калмыкия,2019,78.8,278.4,50.2,108.3,743.2,18508.0,401.3,3773.0,6.0,0.1,18.0,74.84,southern
Республика Калмыкия,2020,77.3,282.9,49.9,107.0,650.8,19816.0,445.1,3676.0,3.0,0.4,15.0,72.93,southern
Республика Калмыкия,2021,79.4,302.4,49.4,104.9,753.2,21319.0,509.0,3697.0,4.0,0.2800000000000001,6.0,71.4,southern
Республика Карелия,2005,120.9,243.1,50.5,131.3,1027.1,7278.0,1191.9,21857.0,129.0,154.0,205.0,61.84,north_western
Республика Карелия,2010,106.0,248.9,50.4,128.0,1078.8,16046.0,908.0,21857.0,108.0,140.0,190.0,66.42,north_western
Республика Карелия,2011,101.1,256.3,50.4,124.8,1100.9,17543.0,789.4,23110.0,96.0,108.0,175.0,67.95,north_western
Республика Карелия,2012,107.4,269.9,51.7,124.8,1076.1,20058.0,793.1,24034.0,107.0,93.0,177.0,68.0,north_western
Республика Карелия,2013,100.4,293.4,51.9,123.6,1115.4,22067.0,722.9,23290.0,119.0,71.0,220.0,69.19,north_western
Республика Карелия,2014,87.1,273.1,50.7,117.6,1113.8,23005.0,722.7,23561.0,95.0,80.0,222.0,69.36,north_western
Республика Карелия,2015,77.9,274.3,48.4,114.5,1114.3,25859.0,749.7,21857.0,96.0,72.0,205.0,69.16,north_western
Республика Карелия,2016,75.5,283.6,50.0,116.3,1126.2,26247.0,684.0,24356.0,116.0,92.0,221.0,69.78,north_western
Республика Карелия,2017,74.7,289.1,51.6,121.7,1175.1,27473.0,638.0,22822.0,114.0,105.0,221.0,70.65,north_western
Республика Карелия,2018,74.4,293.9,51.3,115.3,1173.0,29150.0,677.8,20776.0,124.0,81.0,180.0,70.56,north_western
Республика Карелия,2019,74.9,298.1,51.7,114.2,1165.7,30854.0,618.7,21857.0,122.0,98.0,222.0,71.46,north_western
Республика Карелия,2020,78.4,298.3,52.9,110.7,1067.7,32596.0,744.2,21857.0,129.0,129.0,171.0,69.63,north_western
Республика Карелия,2021,76.2,306.0,53.5,108.4,1246.9,35173.0,853.1,21857.0,136.0,149.0,121.0,67.31,north_western
Республика Коми,2005,115.4,343.4,45.0,139.3,960.4,11452.0,1069.3,21812.0,671.0,323.0,133.0,62.12,north_western
Республика Коми,2010,111.7,367.9,47.5,145.6,1035.2,22260.0,796.6,23290.0,595.0,363.0,117.0,66.87,north_western
Республика Коми,2011,111.5,374.2,47.8,144.7,1047.2,23925.0,741.2,22513.0,712.0,336.0,129.0,67.95,north_western
Республика Коми,2012,109.5,374.6,48.4,148.3,1053.5,27040.0,721.8,21142.0,688.0,413.0,120.0,68.33,north_western
Республика Коми,2013,104.9,380.4,48.7,146.6,1047.4,28724.0,682.4,21679.0,774.0,383.0,106.0,69.27,north_western
Республика Коми,2014,102.7,390.5,48.7,148.3,1054.8,29561.0,700.1,21158.0,707.0,379.0,108.0,69.05,north_western
Республика Коми,2015,103.3,397.2,48.4,153.4,1072.0,31221.0,701.1,21569.0,612.0,364.0,117.0,69.4,north_western
Республика Коми,2016,101.5,404.1,50.2,146.9,1121.2,31725.0,691.1,21052.0,569.0,355.0,110.0,69.45,north_western
Республика Коми,2017,100.2,404.7,51.4,145.8,1158.5,32310.0,602.4,19534.0,451.0,664.0,262.0,71.05,north_western
Республика Коми,2018,100.0,408.6,51.9,144.2,1119.8,33961.0,607.7,18562.0,488.0,227.0,267.0,71.06,north_western
Республика Коми,2019,97.6,409.5,51.4,143.7,1082.0,35428.0,608.3,16757.0,392.0,322.0,269.0,71.3,north_western
Республика Коми,2020,96.4,407.0,51.0,143.6,924.3,36687.0,658.3,15563.0,350.0,274.0,171.0,70.3,north_western
Республика Коми,2021,90.8,426.8,50.1,142.3,1043.8,38880.0,748.6,14143.0,370.0,282.0,176.0,68.32,north_western
Республика Крым,2014,86.1,131.5,42.2,94.0,537.4,22884.0,558.2,13990.0,21.0,148.0,52.0,70.74,southern
Республика Крым,2016,76.0,176.9,44.2,107.2,520.2,17825.0,606.5,31880.0,31.0,56.0,7.0,70.74,southern
Республика Крым,2017,79.0,188.6,44.1,105.4,506.8,19818.0,524.3,33077.0,29.0,60.0,83.0,72.0,southern
Республика Крым,2018,76.3,185.8,45.7,106.7,524.9,21524.0,537.1,33202.0,23.0,29.0,106.0,72.22,southern
Республика Марий Эл,2005,124.7,304.5,34.1,121.9,743.3,3376.0,950.6,21857.0,29.0,7.0,64.0,63.53,volga
Республика Марий Эл,2010,111.5,292.3,33.5,119.5,864.0,10336.0,735.8,21857.0,33.0,10.0,60.0,67.34,volga
Республика Марий Эл,2011,101.0,306.9,34.6,119.5,863.5,11328.0,724.6,15422.0,29.0,9.0,57.0,68.31,volga
Республика Марий Эл,2012,99.8,308.7,34.7,115.8,894.7,12532.0,664.1,15384.0,34.0,10.0,51.0,69.04,volga
Республика Марий Эл,2013,98.6,311.1,35.0,113.3,869.8,14545.0,662.2,15957.0,27.0,7.0,55.0,69.3,volga
Республика Марий Эл,2014,95.7,309.4,35.0,110.2,882.4,16471.0,687.6,15820.0,25.0,9.0,50.0,69.42,volga
Республика Марий Эл,2015,90.3,311.4,34.8,105.9,915.0,18550.0,668.3,21857.0,22.0,10.0,49.0,69.8,volga
Республика Марий Эл,2016,83.5,319.4,35.6,105.2,935.7,18859.0,605.7,15837.0,36.0,8.0,48.0,70.75,volga
Республика Марий Эл,2017,82.0,320.6,36.4,106.1,929.4,19331.0,525.1,14002.0,35.0,8.0,45.0,72.24,volga
Республика Марий Эл,2018,80.6,318.6,36.2,104.1,936.9,19802.0,543.5,13256.0,38.0,10.0,48.0,71.99,volga
Республика Марий Эл,2019,78.3,319.2,36.2,102.9,995.7,20877.0,510.2,21857.0,37.0,11.0,50.0,72.9,volga
Республика Марий Эл,2020,81.0,319.9,36.4,101.7,904.8,21271.0,589.3,21857.0,55.0,10.0,51.0,71.05,volga
Республика Марий Эл,2021,82.1,327.3,37.0,99.3,1002.3,23185.0,676.7,21857.0,39.0,12.0,29.0,69.46,volga
Республика Мордовия,2005,125.7,201.5,51.4,129.2,681.8,4103.0,744.4,21857.0,37.0,485.0,53.0,66.66,volga
Республика Мордовия,2010,105.9,213.6,51.8,119.1,725.7,11294.0,613.2,21857.0,34.0,450.0,46.0,69.25,volga
Республика Мордовия,2011,106.5,218.2,51.8,118.2,710.3,11948.0,596.6,15973.0,34.0,476.0,42.0,70.11,volga
Республика Мордовия,2012,104.1,230.4,52.6,120.0,691.3,13081.0,579.7,16078.0,50.0,585.0,39.0,70.72,volga
Республика Мордовия,2013,101.4,230.3,53.5,119.8,713.5,14029.0,586.2,16538.0,36.0,707.0,35.0,70.56,volga
Республика Мордовия,2014,93.0,244.3,54.0,117.4,684.5,15783.0,563.4,16523.0,35.0,737.0,34.0,71.38,volga
Республика Мордовия,2015,81.5,244.4,53.7,115.4,683.7,17588.0,525.9,21857.0,32.0,381.0,30.0,72.06,volga
Республика Мордовия,2016,80.5,247.8,53.6,112.7,658.9,17832.0,509.1,16326.0,41.0,361.0,30.0,72.25,volga
Республика Мордовия,2017,77.9,244.9,53.3,113.9,682.6,18255.0,443.2,15959.0,54.0,506.0,26.0,73.4,volga
Республика Мордовия,2018,79.0,258.6,53.5,112.1,680.7,18651.0,448.9,15325.0,38.0,367.0,27.0,73.66,volga
Республика Мордовия,2019,78.8,265.5,53.4,108.7,678.8,19748.0,436.1,21857.0,51.0,324.0,5.5,73.95,volga
Республика Мордовия,2020,80.5,276.7,54.6,109.0,694.5,20635.0,544.0,21857.0,59.0,323.0,5.2,71.6,volga
Республика Мордовия,2021,79.4,278.4,56.0,107.7,767.4,22906.0,623.5,21857.0,53.0,368.0,5.0,70.24,volga
Республика Саха (Якутия),2005,152.6,272.9,49.3,135.1,881.7,11350.0,773.6,25856.0,163.0,328.0,79.0,64.68,far_eastern
Республика Саха (Якутия),2010,114.9,270.0,57.1,132.5,1023.4,23088.0,725.5,25742.0,161.0,403.0,86.0,66.75,far_eastern
Республика Саха (Якутия),2011,114.1,281.2,56.8,133.4,1047.4,25617.0,679.0,25082.0,157.0,417.0,87.0,67.67,far_eastern
Республика Саха (Якутия),2012,112.9,279.2,55.9,130.0,1066.5,28701.0,649.4,25728.0,161.0,433.0,81.0,67.93,far_eastern
Республика Саха (Якутия),2013,113.0,284.6,56.3,129.9,1107.0,30595.0,590.6,26468.0,165.0,450.0,76.0,69.13,far_eastern
Республика Саха (Якутия),2014,111.7,283.1,56.9,134.4,1098.1,33054.0,571.2,26747.0,307.0,430.0,79.0,69.81,far_eastern
Республика Саха (Якутия),2015,105.7,286.0,55.2,131.6,1026.6,37013.0,552.8,27178.0,287.0,478.0,85.0,70.29,far_eastern
Республика Саха (Якутия),2016,98.2,294.5,56.0,131.3,1043.8,38863.0,532.2,27002.0,257.0,479.0,50.0,70.84,far_eastern
Республика Саха (Якутия),2017,98.7,303.0,60.5,141.8,1021.1,40554.0,516.7,25660.0,244.0,410.0,48.0,71.68,far_eastern
Республика Саха (Якутия),2018,96.8,294.6,61.0,137.9,1015.3,42669.0,468.8,25129.0,256.0,378.0,57.0,72.72,far_eastern
Республика Саха (Якутия),2019,95.7,295.7,61.6,139.1,1032.9,45528.0,465.2,24654.0,288.0,373.0,83.0,73.0,far_eastern
Республика Саха (Якутия),2020,86.5,284.6,60.3,135.4,899.6,46344.0,538.4,22921.0,286.0,479.0,74.0,71.1,far_eastern
Республика Саха (Якутия),2021,85.2,285.9,60.0,132.8,1053.8,50369.0,554.8,22319.0,390.0,435.0,75.0,69.98,far_eastern
Республика Северная Осетия – Алания,2005,101.6,260.0,66.1,100.4,598.8,4669.0,653.9928240740742,21857.0,6.0,235.0,96.0,69.6,north_caucasian
Республика Северная Осетия – Алания,2010,100.1,218.0,70.8,103.8,646.5,13193.0,653.9928240740742,21857.0,6.0,215.0,82.0,72.65,north_caucasian
Республика Северная Осетия – Алания,2011,105.0,236.3,74.5,92.6,685.5,13757.0,442.1,11541.0,4.0,209.0,82.0,72.59,north_caucasian
Республика Северная Осетия – Алания,2012,106.7,240.6,71.0,94.7,677.0,16165.0,381.7,11481.0,4.0,210.0,82.0,73.41,north_caucasian
Республика Северная Осетия – Алания,2013,93.3,236.3,71.7,97.0,698.4,17142.0,388.5,11638.0,5.0,126.0,82.0,73.94,north_caucasian
Республика Северная Осетия – Алания,2014,87.9,241.9,70.3,108.5,709.6,19257.0,396.4,11696.0,3.0,147.0,82.0,73.82,north_caucasian
Республика Северная Осетия – Алания,2015,88.6,264.8,64.5,111.1,707.3,21804.0,653.9928240740742,21857.0,5.0,151.0,88.0,74.2,north_caucasian
Республика Северная Осетия – Алания,2016,90.1,262.6,66.6,114.1,722.6,22220.0,367.1,10476.0,5.0,180.0,82.0,75.05,north_caucasian
Республика Северная Осетия – Алания,2017,90.4,267.9,69.2,111.7,746.4,22702.0,347.5,9580.0,4.0,179.0,82.0,75.51,north_caucasian
Республика Северная Осетия – Алания,2018,88.8,269.7,67.2,109.2,647.4,23270.0,370.3,9393.0,11.0,149.0,82.0,75.68,north_caucasian
Республика Северная Осетия – Алания,2019,87.5,275.6,68.2,110.0,629.5,24522.0,653.9928240740742,21857.0,7.0,13.0,90.0,75.75,north_caucasian
Республика Северная Осетия – Алания,2020,96.4,276.6,69.9,109.4,636.6,23963.0,653.9928240740742,21857.0,10.0,4.0,91.0,74.08,north_caucasian
Республика Северная Осетия – Алания,2021,78.6,274.8,68.2,103.4,606.3,25885.0,653.9928240740742,21857.0,10.0,4.0,90.0,72.47,north_caucasian
Республика Татарстан,2005,107.1,226.8,44.9,114.2,804.5,7383.0,674.6,21857.0,240.0,311.0,529.0,67.93,volga
Республика Татарстан,2010,77.6,223.9,44.2,106.5,846.2,18424.0,550.5,21857.0,263.0,329.0,490.0,70.42,volga
Республика Татарстан,2011,76.7,241.6,44.2,107.2,849.8,20223.0,529.8,103545.0,278.0,322.0,498.0,71.3,volga
Республика Татарстан,2012,74.8,248.3,41.9,107.0,845.2,24004.0,505.8,108073.0,288.0,310.0,480.0,71.8,volga
Республика Татарстан,2013,71.6,243.5,41.4,106.7,831.6,27006.0,499.4,114717.0,298.0,521.0,467.0,72.12,volga
Республика Татарстан,2014,65.9,264.7,42.1,106.4,841.1,29537.0,509.4,120565.0,294.0,427.0,439.0,72.17,volga
Республика Татарстан,2015,65.8,238.3,40.6,111.9,804.2,32404.0,477.1,21857.0,294.0,437.0,382.0,72.81,volga
Республика Татарстан,2016,65.2,240.5,40.2,111.8,792.3,32763.0,440.5,130808.0,338.0,495.0,325.0,73.64,volga
Республика Татарстан,2017,63.4,242.6,41.5,111.2,794.0,32436.0,417.2,117616.0,286.0,463.0,320.0,74.2,volga
Республика Татарстан,2018,63.3,241.7,42.2,110.1,775.1,33725.0,409.2,117334.0,394.0,392.0,296.0,74.35,volga
Республика Татарстан,2019,63.1,240.5,42.8,110.6,799.0,35733.0,392.7,21857.0,290.0,261.0,286.0,75.03,volga
Республика Татарстан,2020,63.9,242.6,44.3,110.7,800.6,35694.0,477.6,21857.0,325.0,252.0,276.0,72.61,volga
Республика Татарстан,2021,64.0,241.5,44.4,109.6,838.6,39679.0,526.5,21857.0,323.0,241.0,263.0,71.28,volga
Республика Тыва,2005,170.9,303.5,42.8,137.7,687.7,4162.0,1294.4,4022.0,24.0,41.0,8.0,55.84,siberian
Республика Тыва,2010,143.9,329.2,45.6,138.9,583.2,10160.0,1007.7,3782.0,23.0,32.0,9.0,60.45,siberian
Республика Тыва,2011,142.6,331.6,46.0,111.8,615.2,10963.0,918.5,3696.0,19.0,20.0,9.0,61.39,siberian
Республика Тыва,2012,136.1,335.6,47.0,112.1,622.4,12014.0,947.5,3774.0,20.0,22.0,8.0,61.09,siberian
Республика Тыва,2013,135.7,341.3,47.8,117.8,647.8,13559.0,944.7,3822.0,19.0,15.0,7.0,61.79,siberian
Республика Тыва,2014,131.3,339.0,46.9,146.1,711.9,13887.0,943.5,3798.0,19.0,19.0,7.0,61.79,siberian
Республика Тыва,2015,126.5,328.8,48.9,144.0,664.8,15572.0,880.5,3692.0,20.0,13.0,9.0,63.13,siberian
Республика Тыва,2016,119.5,326.4,50.2,151.0,604.8,14963.0,830.8,3673.0,19.0,13.0,12.0,64.21,siberian
Республика Тыва,2017,113.7,315.1,52.9,149.8,643.3,15011.0,729.1,3684.0,20.0,15.0,6.0,66.29,siberian
Республика Тыва,2018,113.2,306.0,51.4,147.3,620.1,15603.0,682.6,3628.0,4.0,15.0,7.0,66.47,siberian
Республика Тыва,2019,107.5,304.7,49.7,145.8,614.3,16618.0,652.1,3614.0,5.0,8.0,8.0,67.57,siberian
Республика Тыва,2020,106.7,298.6,50.6,147.6,614.1,18975.0,698.1,3524.0,5.0,10.0,8.0,66.25,siberian
Республика Тыва,2021,112.4,296.6,50.2,147.0,651.5,20652.0,689.5,3527.0,7.0,10.0,6.0,66.87,siberian
Республика Хакасия,2005,108.4,323.2,37.8,106.3,812.3,5177.0,1099.9,9267.0,96.0,229.0,50.0,61.11,siberian
Республика Хакасия,2010,90.6,322.3,38.1,112.2,802.9,12806.0,713.3,10258.0,96.0,169.0,38.0,67.1,siberian
Республика Хакасия,2011,85.5,324.5,37.9,137.3,820.8,14223.0,689.6,10653.0,90.0,144.0,36.0,67.75,siberian
Республика Хакасия,2012,84.3,330.6,38.6,145.8,834.1,16012.0,662.7,10942.0,94.0,188.0,34.0,67.64,siberian
Республика Хакасия,2013,82.1,325.4,39.8,139.7,870.8,16649.0,645.2,11467.0,90.0,184.0,30.0,68.57,siberian
Республика Хакасия,2014,78.4,327.4,40.0,108.3,909.2,17654.0,657.3,11690.0,84.0,189.0,30.0,68.83,siberian
Республика Хакасия,2015,74.8,326.8,39.0,107.8,835.5,19116.0,667.0,11901.0,89.0,172.0,29.0,68.68,siberian
Республика Хакасия,2016,72.0,324.3,41.5,107.8,859.6,19625.0,642.1,10876.0,92.0,177.0,24.0,69.33,siberian
Республика Хакасия,2017,71.7,332.6,43.1,108.6,921.0,20251.0,582.5,9487.0,115.0,174.0,24.0,70.21,siberian
Республика Хакасия,2018,70.4,338.9,42.1,104.5,917.9,21571.0,561.4,8941.0,107.0,142.0,33.0,71.15,siberian
Республика Хакасия,2019,69.9,353.7,42.3,105.7,924.7,22691.0,574.6,8186.0,105.0,143.0,28.0,71.05,siberian
Республика Хакасия,2020,74.9,354.9,40.1,104.5,837.8,23843.0,615.0,7950.0,110.0,214.0,26.0,70.06,siberian
Республика Хакасия,2021,71.4,352.4,41.2,106.4,969.2,26068.0,676.0,7809.0,110.0,204.0,29.0,68.49,siberian
Ростовская область,2005,100.6,223.1,37.5,88.3,795.3,6360.0,686.0,107115.0,146.0,720.0,282.0,66.99,southern
Ростовская область,2010,87.2,231.0,38.6,91.8,790.4,14647.0,581.9,90703.0,176.0,869.0,270.0,69.72,southern
Ростовская область,2011,90.8,233.1,39.8,90.1,816.9,16010.0,560.0,91802.0,154.0,882.0,235.0,70.28,southern
Ростовская область,2012,89.8,235.8,40.3,90.5,819.0,18107.0,514.8,87457.0,200.0,1101.0,253.0,71.02,southern
Ростовская область,2013,89.2,238.0,38.6,91.3,817.0,20516.0,501.6,88144.0,193.0,1101.0,236.0,71.39,southern
Ростовская область,2014,80.6,237.5,38.4,89.8,820.4,22957.0,519.0,89473.0,194.0,1232.0,262.0,71.3,southern
Ростовская область,2015,81.4,238.1,37.7,91.1,801.2,25825.0,496.7,91701.0,165.0,978.0,238.0,71.9,southern
Ростовская область,2016,81.6,242.7,37.4,89.5,811.3,26655.0,489.5,90596.0,169.0,978.0,253.0,72.2,southern
Ростовская область,2017,80.8,239.5,37.5,88.5,829.0,27741.0,448.2,87817.0,195.0,1165.0,216.0,73.03,southern
Ростовская область,2018,80.3,242.5,37.5,88.2,817.1,29095.0,444.5,86543.0,57.0,58.0,198.0,73.21,southern
Ростовская область,2019,79.3,242.2,37.1,88.2,821.2,30866.0,428.7,82455.0,158.0,849.0,202.0,73.69,southern
Ростовская область,2020,78.3,246.1,38.7,87.6,746.9,31519.0,493.0,75575.0,175.0,730.0,188.0,72.04,southern
Ростовская область,2021,78.6,256.8,39.1,85.4,894.6,35041.0,579.9,70966.0,177.0,861.0,198.0,69.79,southern
Рязанская область,2005,118.7,228.5,53.3,117.4,651.3,4775.0,1004.9,31931.0,141.0,454.0,20.0,64.11,central
Рязанская область,2010,99.2,236.5,56.8,113.9,701.7,13886.0,745.5,33642.0,134.0,538.0,89.0,67.81,central
Рязанская область,2011,98.3,224.5,57.3,114.2,703.5,14788.0,677.6,33594.0,122.0,506.0,84.0,69.34,central
Рязанская область,2012,96.8,247.8,52.3,112.3,706.9,17652.0,629.9,33048.0,124.0,464.0,86.0,69.86,central
Рязанская область,2013,88.9,248.4,51.6,110.2,689.4,18932.0,582.1,33252.0,103.0,493.0,85.0,70.74,central
